Country/territory of the murder,City of the murder,Location of the murder,Gender identity or expression,Sex Characteristics,Sexual Orientation,Occupation,Migrant status,Nationality,Race,Age range,Disability,TDoR period (Oct-Sept),Calendar year,Date of the incident,Time of the incident,Type of homicide/murder,Type of location of the murder,Number of perpetrators,Type of perpetrator(s),Basis for bias,Bias indicators,Source of information about the murder,Reported by,Response from local authorities,ciudad_limpia,departamento,hubo_respuesta_institucional,solo_departamento_reportado
"Sudamérica, Latinoamérica y el Caribe::Colombia",Santiago de Cali,3.4519988|-76.5325259,trans / transgénero,,Desconocida,trabajadorx sexual,,,Black,19 a 25,,TDoR 2008,2008,2008/03/23,,apuñalamiento,,,,,,LGBTIQ group,Observatorio Ciudadano Trans,,Cali,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Pereira,4.7854606|-75.7883220137654,travesti,,Desconocida,,,,Black,19 a 25,,TDoR 2008,2008,2008/05/15,,tiroteo,,,,,,civil society organisation,ILGA,,Pereira,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Popayán,2.4440069739605623|-76.61469782778252,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,,,Black,26 a 30,,TDoR 2008,2008,2008/07/10,,otro,residencia propia,,,,,civil society organisation,ILGA,,Popayán,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Santiago de Cali,3.4519988|-76.5325259,travesti,,Desconocida,,,,Black,15 a 18,,TDoR 2008,2008,2008/02/01,,tiroteo,parque / plaza pública / espacio / mercado / gasolinera,,,,,LGBTIQ group,Observatorio Ciudadano Trans,,Cali,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Barranquilla,10.9938599|-74.7926118,trans / transgénero,,Desconocida,,,,Black,19 a 25,,TDoR 2008,2008,2008/03/29,,tiroteo,,,,,,press,El Heraldo,,Barranquilla,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Barranquilla,10.9938599|-74.7926118,trans / transgénero,,Desconocida,,,,Black,26 a 30,,TDoR 2008,2008,2008/03/29,,tiroteo,,,,,,press,El Heraldo,,Barranquilla,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Santiago de Cali,3.4519988|-76.5325259,travesti,,Desconocida,trabajadorx sexual,,,Black,,,TDoR 2008,2008,2008/05/08,,tiroteo,calle,,,,,LGBTIQ group,Observatorio Ciudadano Trans,,Cali,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Santiago de Cali,3.4519988|-76.5325259,travesti,,Desconocida,trabajadorx sexual,,,Black,,,TDoR 2008,2008,2008/05/08,,apuñalamiento,calle,,,,,LGBTIQ group,Observatorio Ciudadano Trans,,Cali,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Barranquilla,10.9938599|-74.7926118,travesti,,Desconocida,,,,Black,,,TDoR 2008,2008,2008/05/10,,,,,,,,press,El Heraldo,,Barranquilla,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Bogotá,4.6533874|-74.0836332,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,,,Black,51 a 60,,TDoR 2008,2008,2008/07/18,,apuñalamiento,,,,,,civil society organisation,ILGA,,Bogotá,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Bogotá,4.6533874|-74.0836332,trans / transgénero,,Desconocida,,,,Black,26 a 30,,TDoR 2008,2008,2008/07/01,,otro,calle,,,,,civil society organisation,ILGA,,Bogotá,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Bogotá,4.6533874|-74.0836332,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,,,Black,26 a 30,,TDoR 2008,2008,2008/09/04,,tiroteo,,,,,,civil society organisation,ILGA,,Bogotá,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Santiago de Cali,3.4519988|-76.5325259,travesti,,Desconocida,,,,Black,51 a 60,,TDoR 2009,2008,2008/10/21,,apuñalamiento,residencia propia,,,,,LGBTIQ group,Observatorio Ciudadano Trans,,Cali,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Pereira,4.7854606|-75.7883220137654,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,trabajadorx sexual,,,Black,,,TDoR 2009,2009,2009/02/01,,tiroteo,,,,,,LGBTIQ group,Observatorio Ciudadano Trans,,Pereira,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Valle del Cauca,4.3354563|-75.826515235457,trans / transgénero,,Desconocida,,,,Black,,,TDoR 2009,2009,2009/08/08,,,,,,,,LGBTIQ group,Observatorio Ciudadano Trans,,,Valle del Cauca,False,True
"Sudamérica, Latinoamérica y el Caribe::Colombia",Sincelejo,9.2973386|-75.3926601,travesti,,Desconocida,,,,Black,15 a 18,,TDoR 2009,2009,2009/01/28,,apuñalamiento,,,,,,press,"El Universal, 01.02.2009",,Sincelejo,,False,False
