,Bolivia,Kosovo,Diferencia (Bolivia - Kosovo)
Exclusión política por grupo social (etnia/religión),0.337,0.33,0.007
Exclusión política por género,0.391,0.446,-0.055
Distribución de poder entre grupos sociales,0.846,1.733,-0.887
Distribución de poder por género,0.93,0.194,0.736
Igualdad ante la ley entre grupos sociales,1.103,0.838,0.264
Represión de organizaciones civiles de mujeres,1.036,0.969,0.067
Restricción a movimientos anti-discriminación (incl. LGBT),0.458,-1.041,1.499
Índice de empoderamiento de mujeres,0.736,0.682,0.053
Índice de poliarquía (nivel de democracia electoral),0.649,0.549,0.1
Índice de democracia liberal,0.411,0.392,0.019
