country_name,country_id,year,v2xpe_exlsocgr,v2xpe_exlgender,v2xpe_exlecon,v2xpe_exlpol,v2xpe_exlgeo,v2pepwrsoc,v2pepwrgen,v2pepwrort,v2pepwrses,v2pepwrgeo,v2clacjstm,v2clacjstw,v2cldmovem,v2cldmovew,v2clsocgrp,v2x_clpriv,v2csgender,v2csantimv,v2csrlgrep,v2csrlgcon,v2peedueq,v2pehealth,v2peapsecon,v2peapssoc,v2x_gender,v2x_suffr,v2fsuffrage,v2msuffrage,v2x_polyarchy,v2x_libdem,e_gdppc,e_regiongeo,e_pop,e_area,v2xpe_exlsocgr_sd,v2xpe_exlgender_sd,v2clsocgrp_sd,v2x_gender_sd
Bolivia,25,2000,0.547,0.564,0.366,0.425,0.44,0.369,0.51,-0.998,1.463,0.444,0.579,0.211,1.715,1.938,0.407,0.807,0.695,0.765,1.534,-0.3,0.59,0.249,-0.144,-0.559,0.657,1.0,100.0,100.0,0.743,0.527,8.354,18,888.401,1090253.526,0.36,0.371,0.305,0.068
Bolivia,25,2001,0.529,0.564,0.366,0.425,0.44,0.672,0.51,-0.998,1.463,0.444,0.579,0.211,1.715,1.938,0.407,0.807,0.695,0.765,1.534,-0.3,0.59,0.249,-0.144,-0.559,0.657,1.0,100.0,100.0,0.737,0.52,8.403,18,906.363,1090253.526,0.356,0.371,0.305,0.068
Bolivia,25,2002,0.515,0.55,0.349,0.425,0.44,0.672,0.51,-0.998,1.463,0.444,0.579,0.211,1.715,1.938,0.407,0.807,0.695,2.087,1.534,-0.3,-0.68,0.249,-0.144,-0.482,0.692,1.0,100.0,100.0,0.719,0.51,8.471,18,923.244,1090253.526,0.357,0.371,0.305,0.068
Bolivia,25,2003,0.515,0.55,0.349,0.425,0.44,0.672,0.51,-0.998,1.463,0.444,0.579,0.211,1.715,1.938,0.407,0.807,0.695,2.477,1.534,-0.3,-0.68,0.249,-0.144,-0.482,0.692,1.0,100.0,100.0,0.719,0.515,8.586,18,940.516,1090253.526,0.357,0.371,0.305,0.068
Bolivia,25,2004,0.515,0.548,0.349,0.402,0.44,0.672,0.51,-0.998,1.463,0.444,0.579,0.211,1.715,1.938,0.407,0.807,0.695,2.477,1.534,-0.3,-0.68,0.249,-0.144,-0.482,0.692,1.0,100.0,100.0,0.753,0.541,8.774,18,958.401,1090253.526,0.357,0.372,0.305,0.068
Bolivia,25,2005,0.456,0.509,0.322,0.407,0.423,0.652,0.51,-0.127,1.543,0.58,0.579,0.174,1.715,1.938,0.407,0.777,0.695,0.892,1.534,-0.3,-0.68,-0.62,-0.345,-0.465,0.687,1.0,100.0,100.0,0.746,0.534,9.009,18,975.703,1090253.526,0.364,0.366,0.305,0.069
Bolivia,25,2006,0.293,0.397,0.205,0.415,0.221,1.07,0.763,-0.127,2.324,1.243,0.265,0.174,1.715,1.938,1.433,0.783,0.891,0.268,1.534,-0.769,-0.738,-0.62,-0.019,-0.208,0.708,1.0,100.0,100.0,0.724,0.462,9.285,18,994.132,1090253.526,0.355,0.369,0.414,0.068
Bolivia,25,2007,0.274,0.394,0.159,0.373,0.195,1.07,0.763,0.066,2.324,1.335,0.265,0.174,1.788,1.938,1.433,0.785,0.891,0.565,1.534,-0.769,-0.845,-0.62,0.492,-0.208,0.708,1.0,100.0,100.0,0.719,0.458,9.613,18,1012.673,1090253.526,0.359,0.369,0.414,0.068
Bolivia,25,2008,0.262,0.379,0.159,0.373,0.195,1.07,0.763,0.066,2.324,1.335,0.265,0.174,1.788,1.636,1.433,0.776,0.891,0.692,1.534,-0.769,-0.845,-0.62,0.492,-0.064,0.699,1.0,100.0,100.0,0.719,0.453,10.035,18,1032.047,1090253.526,0.356,0.368,0.414,0.07
Bolivia,25,2009,0.262,0.359,0.15,0.37,0.194,1.07,0.842,0.168,2.933,1.335,0.265,0.174,1.788,1.636,1.433,0.805,0.891,-0.18,2.253,-0.773,-0.845,-0.451,0.492,-0.064,0.722,1.0,100.0,100.0,0.714,0.435,10.387,18,1051.491,1090253.526,0.356,0.362,0.414,0.067
